,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
169,169,1673978400,1.22786,1.22855,1.22462,1.22614,15800,1,0,-0.0014017932205814118,0.03397902785979925,0.06161910514110903,0.5514365679603196,0
170,170,1673989200,1.22615,1.22918,1.226,1.22875,10465,4,0,0.0021263689887647628,0.034597494933742076,0.08457813498514542,0.4090595629688274,3
171,171,1674000000,1.22862,1.22917,1.22647,1.22715,4312,5,0,-0.001302984833559396,0.03435056503898181,0.04261315933365236,0.806102283335152,0
172,172,1674010800,1.22717,1.229,1.22538,1.22678,16158,6,0,-0.0003015570964158012,0.030430101360075113,0.09013370908776072,0.3376106638465988,0
173,173,1674021600,1.22678,1.22962,1.22626,1.22902,11635,1,0,0.0018242532952260947,0.029129201933553568,0.07335518955804142,0.3970980391306253,3
174,174,1674032400,1.22942,1.23634,1.22937,1.23592,25352,1,0,0.005598528177167108,0.034429021424331636,0.1295399735426222,0.2657791296599543,4
175,175,1674043200,1.23592,1.23884,1.23375,1.23693,17886,1,0,0.0008168712668886883,0.034439144366642645,0.1309047137755421,0.26308559389002817,3
176,176,1674054000,1.23695,1.24359,1.23656,1.23942,36991,1,0,0.002011024967533461,0.03481545355168752,0.14523317136874941,0.23972108591700794,3
177,177,1674064800,1.23943,1.23943,1.23281,1.23368,20089,1,0,-0.004641955688815225,0.03880361775107343,0.06622872490804209,0.585903138025862,0
178,178,1674075600,1.23369,1.23511,1.23272,1.23467,10192,4,0,0.0008021553289319901,0.03779444110841075,0.10209587873789837,0.3701857663171404,0
179,179,1674086400,1.23467,1.23502,1.23194,1.23204,6467,7,0,-0.0021323957794593847,0.03638914315592196,0.11755060211964755,0.3095615207388192,0
180,180,1674097200,1.23204,1.23452,1.23185,1.23336,8964,7,0,0.0010708202532102556,0.036010744961462,0.1430953704227386,0.25165555569741693,0
181,181,1674108000,1.23336,1.23442,1.23243,1.23277,7907,1,0,-0.0004784824897767414,0.03603748917125212,0.12003670835151567,0.3002205714082053,0
182,182,1674118800,1.23279,1.23496,1.2313,1.23369,19092,1,0,0.0007460084839545132,0.03535988759618063,0.14630568235287253,0.24168499150222092,3
183,183,1674129600,1.23371,1.23589,1.23192,1.23326,16528,1,0,-0.00034860860929871677,0.035500017468772696,0.13788924487841048,0.25745312841531837,0
